call_number,title,description,tags,image_path
69205498,12 Monkeys,"Traveling back in time isn't simple, as James Cole (Bruce Willis) learns the hard way. Imprisoned in the 2030s, James is recruited for a mission that will send him back to the 1990s. Once there, he's supposed to gather information about a nascent plague that's about to exterminate the vast majority of the world's population. But, aside from the manic Jeffrey (Brad Pitt), he gets little in the way of cooperation, not least from medical gatekeepers like Dr. Kathryn Railly (Madeleine Stowe).","DVD, sci-fi",libib-sync/batch-0010/69205498.jpg
51782650,200 Cigarettes,"This ensemble comedy follows an array of young people in New York City on New Year's Eve. Among the numerous characters looking for love and fun are impulsive artist Ellie (Janeane Garofalo) and punks Tom (Casey Affleck) and Dave (Guillermo Diaz), who meet up with Stephie (Gaby Hoffmann) and Val (Christina Ricci), two girls from Long Island. Also interacting with various partygoers are a pensive bartender (Ben Affleck) and a taxi driver (Dave Chappelle) who operates a disco in his cab.","VHS, comedy",libib-sync/batch-0010/51782650.jpg
36685562,3 Days of the Condor / All The President's Men,"On a seemingly ordinary day, Joe Turner (Robert Redford), a quiet CIA codebreaker, walks into his workplace and finds that all of his coworkers have been murdered. Horrified, Joe flees the scene and tries to tell his supervisors about the tragedy. Unfortunately, he soon learns that CIA higher-ups were involved in the murders. With no one to trust, and a merciless hit man (Max von Sydow) close on his tail, Joe must somehow survive long enough to figure out why his own agency wants him dead.","Blu-Ray, drama",libib-sync/batch-0010/36685562.jpg
88534266,A Devils Advocate,"Aspiring Florida defense lawyer Kevin Lomax (Keanu Reeves) accepts a high-powered position at a New York law firm headed by legal shark John Milton (Al Pacino). As Kevin moves up in the firm's ranks, his wife, Mary Ann (Charlize Theron), has several frightening, mystical experiences that begin to warp her sense of reality. With the stakes getting higher with each case, Kevin quickly learns that his mentor is planning a far greater evil than simply winning without scruples.","VHS, thriller",libib-sync/batch-0010/88534266.jpg
66931962,A Kid in King Arthur's Court,"A Kid in King Arthur's Court follows 14-year-old Calvin Fuller, a struggling Little Leaguer who is swept by an earthquake into medieval Camelot. Mistaken for a prophesied hero, he must help King Arthur defend his crown from the scheming Lord Belasco while overcoming his own fears. Mixing slapstick, time-travel fish-out-of-water comedy, and family-friendly adventure, it offers lighthearted fun for kids, though critics found it formulaic and dated.","VHS, kids-family",libib-sync/batch-0010/66931962.jpg
52438522,A Serious Man (DVD),"Larry Gopnik (Michael Stuhlbarg) is a physics professor at a 1960s university, but his life is coming apart at the seams. His wife (Sari Lennick) is leaving him, his jobless brother (Richard Kind) has moved in, and someone is trying to sabotage his chances for tenure. Larry seeks advice from three different rabbis, but whether anyone can help him overcome his many afflictions remains to be seen.","DVD, comedy",libib-sync/batch-0010/52438522.jpg
51815418,A Very Brady Sequel,A Very Brady Sequel,"VHS, comedy",libib-sync/batch-0010/51815418.jpg
07772410,American Beauty,"A telesales operative becomes disillusioned with his existence and begins to hunger for fresh excitement in his life. As he experiences a new awakening of the senses, his wife and daughter also undergo changes that seriously affect their family. Critically acclaimed, this film won Oscars for Best Screenplay, Best Director, Best Actor and Best Film.","DVD, drama",libib-sync/batch-0010/07772410.jpg
35562490,American Quilt,"Soon-to-be-wed graduate student Finn Dodd (Winona Ryder) develops cold feet when she suspects her fiancé is cheating on her. In order to clear her head, Finn visits her grandmother, Hy (Ellen Burstyn), and great aunt, Glady Joe Cleary (Anne Bancroft), in Grasse, Calif. There, Finn learns that Hy and Glady Joe are members of a group of passionate quilters, and over the course of her visit she is regaled with tales of love and life by women who have collected rich experiences and much wisdom.","VHS, drama",libib-sync/batch-0010/35562490.jpg
88894714,An Officer and a Gentelman,"Zack Mayo (Richard Gere), a new member of the U.S. Navy, has a bad attitude. When he signs up for the Aviation Academy, he is met with the strict leadership of Sgt. Emil Foley (Louis Gossett Jr.), who gives Zack a rude awakening in terms of relating with other people. Through Foley's guidance -- and an unexpected romance with Paula (Debra Winger), an outsider who hangs around the naval base -- Zack learns some tough lessons and discovers what he truly wants out of life.","VHS, drama",libib-sync/batch-0010/88894714.jpg
