Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Rental Availability (product.metafields.scf.avf),Genre (product.metafields.shopify.genre),Language version (product.metafields.shopify.language-version),Media content type (product.metafields.shopify.media-content-type),MPAA rating (product.metafields.shopify.mpaa-rating),Target audience (product.metafields.shopify.target-audience),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
the-toy-vhs-rental-comedy,The Toy,,VHS,,,"Comedy, Rental",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,18542842,,,,false,,,,,,,,,,lb,,,active
the-nutty-professor-vhs-rental-comedy,The Nutty Professor,,VHS,,,"Comedy, Rental",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,18510074,,,,false,,,,,,,,,,lb,,,active
brazil-vhs-rental-sci-fi,Brazil,,VHS,,,"Rental, Sci-Fi",true,Genre,Sci-Fi,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,18477306,,,,false,,,,,,,,,,lb,,,active
a-perfect-murder-vhs-rental-thriller,A Perfect Murder,,VHS,,,"Rental, Thriller",true,Genre,Thriller,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,18444538,,,,false,,,,,,,,,,lb,,,active
dirty-dancing-vhs-rental-drama,Dirty Dancing,,VHS,,,"Drama, Rental",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,18411770,,,,false,,,,,,,,,,lb,,,active
the-pit-and-the-pendulum-vhs-rental-horror,The Pit and the Pendulum,,VHS,,,"Horror, Rental",true,Genre,Horror,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,18379002,,,,false,,,,,,,,,,lb,,,active
city-of-angels-vhs-rental-drama,City of Angels,,VHS,,,"Drama, Rental",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,07663866,,,,false,,,,,,,,,,lb,,,active
teenage-mutant-ninja-turtles-2-vhs-rental-kids-family,Teenage Mutant Ninja Turtles 2,,VHS,,,"Kids & Family, Rental",true,Genre,Kids & Family,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,07631098,,,,false,,,,,,,,,,lb,,,active
an-affair-to-remember-vhs-rental-drama,An Affair to Remember,,VHS,,,"Drama, Rental",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,07598330,,,,false,,,,,,,,,,lb,,,active
mclintock-vhs-rental-action,McLintock,,VHS,,,"Action, Rental",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,07565562,,,,false,,,,,,,,,,lb,,,active
shane-vhs-rental-action,Shane,,VHS,,,"Action, Rental",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,07532794,,,,false,,,,,,,,,,lb,,,active
the-blue-angel-vhs-rental-drama,The Blue Angel,,VHS,,,"Drama, Rental",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,07500026,,,,false,,,,,,,,,,lb,,,active
star-wars-episode-1-the-phantom-menace-vhs-rental-sci-fi,Star Wars Episode 1: The Phantom Menace,,VHS,,,"Rental, Sci-Fi",true,Genre,Sci-Fi,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,07467258,,,,false,,,,,,,,,,lb,,,active
two-weeks-notice-vhs-rental-romantic-comedy,Two Weeks Notice,,VHS,,,"Rental, Romantic Comedy",true,Genre,Romantic Comedy,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,07434490,,,,false,,,,,,,,,,lb,,,active
my-cousin-vinny-vhs-rental-comedy,My Cousin Vinny,,VHS,,,"Comedy, Rental",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,07401722,,,,false,,,,,,,,,,lb,,,active
austin-powers-international-man-of-mystery-vhs-rental-comedy,Austin Powers | International Man of Mystery,,VHS,,,"Comedy, Rental",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,07368954,,,,false,,,,,,,,,,lb,,,active
presumed-innocent-vhs-rental-thriller,Presumed Innocent,,VHS,,,"Rental, Thriller",true,Genre,Thriller,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,07336186,,,,false,,,,,,,,,,lb,,,active
was-the-dog-vhs-rental-comedy,Was The Dog,,VHS,,,"Comedy, Rental",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,07303418,,,,false,,,,,,,,,,lb,,,active
miami-vice-the-movie-vhs-rental-action,Miami Vice The Movie,,VHS,,,"Action, Rental",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,07270650,,,,false,,,,,,,,,,lb,,,active
liar-liar-vhs-rental-comedy,Liar Liar,,VHS,,,"Comedy, Rental",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,07237882,,,,false,,,,,,,,,,lb,,,active
k-pax-vhs-rental-drama,K-Pax,,VHS,,,"Drama, Rental",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,07205114,,,,false,,,,,,,,,,lb,,,active
legend-vhs-rental-fantasy,Legend,,VHS,,,"Fantasy, Rental",true,Genre,Fantasy,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,07172346,,,,false,,,,,,,,,,lb,,,active
that-thing-you-do-vhs-rental-drama,That Thing You Do,,VHS,,,"Drama, Rental",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,07106810,,,,false,,,,,,,,,,lb,,,active
twister-vhs-rental-action,Twister,,VHS,,,"Action, Rental",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,07074042,,,,false,,,,,,,,,,lb,,,active
the-39-steps-vhs-rental-thriller,The 39 Steps,,VHS,,,"Rental, Thriller",true,Genre,Thriller,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,07041274,,,,false,,,,,,,,,,lb,,,active
