Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Waitlist Emails (product.metafields.custom.waitlist_emails),Art style (product.metafields.shopify.art-style),Carry options (product.metafields.shopify.carry-options),Color (product.metafields.shopify.color-pattern),Genre (product.metafields.shopify.genre),Media format (product.metafields.shopify.media-format),Neckline (product.metafields.shopify.neckline),Orientation (product.metafields.shopify.orientation),Sleeve length type (product.metafields.shopify.sleeve-length-type),Theme (product.metafields.shopify.theme),Tote handle type (product.metafields.shopify.tote-handle-type),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
when-a-man-loves-a-woman-vhs,When a Man Loves a Woman,"<p>A wife and mother of two daughters, Alice Green (Meg Ryan) has developed a severe drinking problem. While her husband, Michael (Andy Garcia), has been patient in dealing with this issue, it soon becomes clear that he has been enabling her alcoholism. When her addiction threatens her children's safety, Alice decides to enter a rehab clinic. Upon returning home, she finds that her new lifestyle causes an unexpected rift with Michael, leading to some soul-searching for the couple.</p>",VHS,Media > Videos,,"Formatted, Rental, Romantic Comedy, VHS",true,Genre,Romantic Comedy,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,false,false,,,,,17254906,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/images_a0feedb2-e5ad-45a1-913e-5fab981519ab.jpg?v=1788195159,1,When a Man Loves a Woman poster,false,,,,,,,romantic-comedy,,,,,,,,,,,,lb,,,active
mr-wonderful-vhs,Mr. Wonderful,"<p>Gus (Matt Dillon) is a New Yorker with an entrepreneurial spirit. He'd like to quit his job and open a bowling alley, but financial obligations from his ex-marriage are standing in his way. Gus owes alimony to Leonora (Annabella Sciorra), but if she remarries, he'll be flush with cash. So he embarks on a scheme to find her a husband. Leonora is in a relationship with Tom (William Hurt), but like Gus, she's a romantic -- and soon Gus and Leonora find they may still have a spark left.</p>",VHS,Media > Videos,,"Formatted, Rental, Romantic Comedy, VHS",true,Genre,Romantic Comedy,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,false,false,,,,,17287674,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/images_c935e2a8-3993-4afe-a5a1-c68c1929d955.jpg?v=1788195159,1,Mr. Wonderful poster,false,,,,,,,romantic-comedy,,,,,,,,,,,,lb,,,active
sabrina-1995-vhs,Sabrina (1995),"<p>Sabrina Fairchild is a chauffeur's daughter who grew up with the wealthy Larrabee family. She always had unreciprocated feelings for David, the family's younger son and playboy. But after returning from Paris, Sabrina has become a glamorous woman who gets David's attention. His older, work-minded brother Linus thinks their courtship is bad for the family business and tries to break them up -- but then he starts to fall for her too.</p>",VHS,Media > Videos,,"Formatted, Rental, Romantic Comedy, VHS",true,Genre,Romantic Comedy,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,false,false,,,,,17320442,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/images_857d60a8-3f4b-43ea-8acb-c230c498634d.jpg?v=1788195158,1,Sabrina (1995) poster,false,,,,,,,romantic-comedy,,,,,,,,,,,,lb,,,active
the-big-chill-vhs-floor-sale,The Big Chill,<p>Seven old college friends gather for a weekend reunion after the funeral of one of their own.</p>,VHS,Media > Videos,,"Comedy, Floor Sale, Formatted, VHS",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,6.00,,false,false,,,,,18270714,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/rU8kjMEL5Mn0EWm3gOShPHBEZ4l_6ed6498a-eb43-45f6-b614-89de960e4097.jpg?v=1788195157,1,The Big Chill (1983) poster,false,,,,,,,comedy,,,,,,,,,,,,lb,,,active
tricks-of-the-trade-vhs,Tricks of the Trade,"<p>After her picture perfect husband is murdered in a prostitute's apartment, Beverly Hills homemaker Catherine is devastated. But she doesn't spend too long mourning, because she's soon on a mission to put her husband's killer behind bars. To do so, she forms an unlikely partnership with Marla, the Hollywood hooker who serviced the deceased. Under Marla's guidance, the pair navigate the seedier side of Los Angeles to put this mystery to rest.</p>",VHS,Media > Videos,,"Comedy, Floor Sale, Formatted, VHS",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,5.00,,true,true,,,,,18303482,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/l87PoLsIGGw22PJIoiVKlAcCRyM_b7c07dc6-959f-41b3-a683-8554af242575.jpg?v=1788267282,1,Tricks of the Trade (1988) poster,false,,,,,,,comedy,,,,,,,,,,,,lb,,,active
dirty-rotten-scoundrels-vhs,Dirty Rotten Scoundrels,"<p>Con artist Lawrence Jamieson is a longtime resident of a luxurious coastal resort, where he enjoys the lavish fruits of his deceptions -- that is, until a competitor, Freddy Benson, shows up. When the new guy's lowbrow tactics impinge on his own sophisticated work and believing him to be the infamous conman 'The Jackal', Lawrence resolves to get rid of him. Confident of his own duplicitous talents, he challenges Freddy to a winner-takes-all competition: whoever swindles their latest mark, American heiress Janet Colgate, out of $50,000 first can stay, while the other must leave town.</p>",VHS,Media > Videos,,"Comedy, Floor Sale, Formatted, VHS",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,7.00,,false,false,,,,,18434554,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/3176xH21fSetstKpEtAD1giHbyT.jpg?v=1788195157,1,Dirty Rotten Scoundrels (1988) poster,false,,,,,,,comedy,,,,,,,,,,,,lb,,,active
theory-of-flight-vhs,Theory of Flight,"<p>Richard is assigned public service after crashing his homemade aircraft, leading him to meet Jane, a young woman dying of motor neuron disease. After they strike up a friendship, Jane asks Richard to help fulfill her deepest wish: to lose her virginity before her death.</p>",VHS,Media > Videos,,"Floor Sale, Formatted, Romantic Comedy, VHS",true,Genre,Romantic Comedy,,,,,,,,,0.0,shopify,1,deny,manual,6.00,,false,false,,,,,18467322,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/wnvKxQ2PwqLf1QOtblr8ICrxXTi.jpg?v=1788195156,1,Theory of Flight (1999) poster,false,,,,,,,romantic-comedy,,,,,,,,,,,,lb,,,active
last-days-of-planet-earth-vhs,Last Days of Planet Earth,<p>Dr. Nishiyama has to combat increasingly bizarre events on which seem all too familiar to the French prophet Nostradamus's predictions.</p>,VHS,Media > Videos,,"Floor Sale, Formatted, Sci-Fi, VHS",true,Genre,Sci-Fi,,,,,,,,,0.0,shopify,1,deny,manual,18.00,,false,false,,,,,18762234,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/1sB4Yyl1iSA6826WMjvu7YMcs5y.jpg?v=1788195155,1,Last Days of Planet Earth (1981) poster,false,,,,,,,sci-fi,,,,,,,,,,,,lb,,,active
100-girls-vhs,100 Girls,"<p>Matthew, a college freshman, meets his dream girl in a dorm elevator during a blackout. He never sees her face, but instantly falls in love. In the morning, the power is restored, but the ""dream girl"" has vanished. All Matthew knows is that she lives in an all-girls dorm. He sets out on a semester-long journey to find his mystery girl among a hundred female suspects. Could it be Wendy? Dora? Arlene? Patty? Cynthia? Or the 95 other girls, any of whom could have been in that elevator with Matthew.</p>",VHS,Media > Videos,,"Comedy, Floor Sale, Formatted, VHS",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,14.00,,false,false,,,,,18795002,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/sspDghFACtzitHyNV4sMBQcQKsg.jpg?v=1788195154,1,100 Girls (2000) poster,false,,,,,,,comedy,,,,,,,,,,,,lb,,,active
novocane-vhs,Novocane,<p>Novocaine is a 2001 American black comedy thriller starring Steve Martin as a dentist drawn into a web of crime.</p>,VHS,Media > Videos,,"Comedy, Floor Sale, Formatted, VHS",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,5.00,,false,false,,,,,18827770,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/Novocaine-Poster.jpg?v=1788272189,1,Novocane poster,false,,,,,,,comedy,,,,,,,,,,,,lb,,,active
