call_number,title,description,tags,image_path
191-NKNALE-50-001A,"A League Of Their Own Madonna, Tom Hanks, Geena Davis Vhs","A League of Their Own is a 1992 sports comedy-drama film about the real-life All-American Girls Professional Baseball League, formed during World War II when many male players left to serve, starring Tom Hanks, Geena Davis, and Madonna.","VHS, comedy",libib-sync/batch-0013/191-NKNALE-50-001A.jpg
191-VHSMRN-001A,MR. NICE GUY,A Chinese chef accidentally gets involved with a news reporter who filmed a drug bust that went awry and is now being chased by gangs who are trying to get the video tape.,"VHS, comedy",libib-sync/batch-0013/191-VHSMRN-001A.jpg
191-VHSNEV-F-001A,Never Been Kissed,"Josie Geller, a baby-faced junior copywriter at the Chicago Sun-Times, must pose as a student at her former high school to research contemporary teenage culture. With the help of her brother, Rob, Josie infiltrates the inner circle of the most popular clique on campus. But she hits a major snag in her investigation -- not to mention her own failed love life -- when she falls for her dreamy English teacher, Sam Coulson.","VHS, comedy",libib-sync/batch-0013/191-VHSNEV-F-001A.jpg
191-VHSOPE-G-001A,OPEN SEASON,Experience the thrill of the great outdoors with this immersive hunting simulation that features realistic environments and a wide variety of North American game. Players can utilize authentic gear and tracking techniques to master the wilderness across multiple challenging levels. This engaging title provides hours of entertainment for sports enthusiasts looking for a detailed and strategic outdoor adventure.,"VHS, comedy",libib-sync/batch-0013/191-VHSOPE-G-001A.jpg
191-VHSTTS-001A,Out to Sea,"Care-free Charlie cons his widower brother-in-law Herb into an expenses-paid luxury cruise in search of rich, lonely ladies. The catch is that they are required to be dance hosts! With a tyrannical cruise director, and the luscious Liz and lovely Vivian, our heroes have lots of mis-adventures before they finally return to port.","VHS, comedy",libib-sync/batch-0013/191-VHSTTS-001A.jpg
191-VHSPOC-001A,Pocket Money,"Broke and in debt, an otherwise honest cowboy and his buddy get mixed up in some shady dealings with a crooked cattle dealer.","VHS, comedy",libib-sync/batch-0013/191-VHSPOC-001A.jpg
191-VHSSTA-001A,Static,"Ernie Blick has just lost his job at a crucifix factory. Luckily, for Ernie, this allows him more time to devote to his invention. Yes, Ernie is an inventor -- and he's come up with something big. So big, in fact, Ernie's convinced it will change the way people look at life and death. With the support of his drummer friend Julia and his ex-Green Beret-evangelist cousin, Ernie unveils it to the world. But even he isn't prepared for the public's reaction.","VHS, comedy",libib-sync/batch-0013/191-VHSSTA-001A.jpg
191-VHSSUP-50-001A,Suppose They Gave a War and Nobody Came?,"War is brewing between the soldiers at an otherwise quiet army base and the civilians of a nearby Southern town. Brian Keith is an officer who tries to keep the peace. However, peace is hard to come by with Ernest Borgnine as a stereotypical dumb hick sheriff who's quick to call in the local militia. Tony Curtis plays a skirt-chasing sergeant who can't stay out of trouble and soon lands in jail. Brian Keith borrows a tank to release his friend from jail. Things get more chaotic after that.","VHS, comedy",libib-sync/batch-0013/191-VHSSUP-50-001A.jpg
191-VHSTHE-F-001A,The Adventures of Pluto Nash,"The year is 2087, the setting is the moon. Pluto Nash, the high-flying successful owner of the hottest nightclub in the universe, finds himself in trouble when he refuses to sell his club to lunar gangster Mogan, who just happens to be helping the mysterious Rex Crater mastermind a plan to take over the entire moon.","VHS, comedy",libib-sync/batch-0013/191-VHSTHE-F-001A.jpg
191-VHSTHG-F-001A,The Grifters,"A small-time conman has his loyalties torn between his estranged mother and his new girlfriend, both of whom are high-stakes grifters with their own angles to play.","VHS, comedy",libib-sync/batch-0013/191-VHSTHG-F-001A.jpg
191-VHSWHO-F-001A,Who's the Man?,"Ed Lover and Doctor Dre are two inept barbers. Deciding that maybe they ought to find another line of work, they join the police. A big mistake, as far as their duty sergeant, Sgt Cooper is concerned, who proceeds to harass them at every turn. Despite this, they discover a major crime, and proceed to solve it in their own unusual fashion.","VHS, comedy",libib-sync/batch-0013/191-VHSWHO-F-001A.jpg
191-VHSWIN-001A,"Win, Place or Steal","Three friends have two things in common: (1) they like to bet on the horses at the track, and (2) they invariably lose. One day they hit upon a scheme to steal one of the track's betting machines, so that they'd be able to print winning tickets and recoup the money they've lost over the years. However, things don't go exactly as planned.","VHS, comedy",libib-sync/batch-0013/191-VHSWIN-001A.jpg
