call_number,title,description,tags,image_path
191-BLR13A-50-001A,13 Assassins,A bravado period action film set at the end of Japan's feudal era in which a group of unemployed samurai are enlisted to bring down a sadistic lord and prevent him from ascending to the throne and plunging the country into a war-torn future.,"Blu-Ray, action",libib-sync/batch-0012/191-BLR13A-50-001A.jpg
191-BLR21J-50-001A,21 Jump Street,"When cops Schmidt and Jenko join the secret Jump Street unit, they use their youthful appearances to go undercover as high school students. They trade in their guns and badges for backpacks, and set out to shut down a dangerous drug ring. But, as time goes on, Schmidt and Jenko discover that high school is nothing like it was just a few years earlier -- and, what's more, they must again confront the teenage terror and anxiety they thought they had left behind.","Blu-Ray, comedy",libib-sync/batch-0012/191-BLR21J-50-001A.jpg
191-UNK22J-50-001A,22 Jump Street,"Relive the action and humor of this high-energy buddy cop sequel in high definition. This physical media release features the complete film along with exclusive bonus content, including deleted scenes and a hilarious gag reel. It is a must-have addition for fans of modern comedy and crime-fighting duos looking to complete their home cinema collection.","Blu-Ray, comedy",libib-sync/batch-0012/191-UNK22J-50-001A.jpg
191-VHS3ST-50-001A,3 Strikes,"Brian Hooks plays a character who is just released from jail. And the state adopts a ""3 strikes"" rule for felons that involves serious penalties. Hooks has 2 strikes, and wants to change his life for the better. When a friend picks him up, they are pulled over, and his friend shoots at police officers, and Hooks escapes. Now Hooks, a wanted man, must clear his name of having nothing to do with the shooting.","VHS, comedy",libib-sync/batch-0012/191-VHS3ST-50-001A.jpg
191-BLRABL-50-001A,A Blade in the Dark (Vinegar Syndrome),"A Blade in the Dark is a 1983 Italian giallo film directed by Lamberto Bava, about a composer working on a horror film score in an isolated villa who becomes entangled in a series of brutal murders.","Blu-Ray, horror",libib-sync/batch-0012/191-BLRABL-50-001A.jpg
191-BLRAGU-50-001A,A Guy Thing,"Paul Morse is a good guy. When his friends throw him a wild bachelor party, he just wants to keep his conscience clean -- which is why he's shocked when he wakes up in bed with a beautiful girl named Becky and can't remember the night before. Desperate to keep his fiancée, Karen, from finding out what may or may not be the truth, he tells her a teensy lie. Soon his lies are spiraling out of control and his life is a series of comical misunderstandings.","Blu-Ray, comedy",libib-sync/batch-0012/191-BLRAGU-50-001A.jpg
191-UNIAMI-50-001A,A Million Ways to Die in the West,This comedy western follows a cowardly farmer who seeks help from a mysterious sharpshooter to win back his girlfriend while outrunning a notorious outlaw. The film features an all-star cast and signature irreverent humor that parodies the harsh realities of life on the frontier. This physical disc is a great choice for fans of satirical cinema and those looking to complete their home movie collection.,"Blu-Ray, comedy",libib-sync/batch-0012/191-UNIAMI-50-001A.jpg
191-BLRAST-50-001A,A Star Is Born,"Seasoned musician Jackson Maine discovers — and falls in love with — struggling artist Ally. She has just about given up on her dream to make it big as a singer — until Jack coaxes her into the spotlight. But even as Ally's career takes off, the personal side of their relationship is breaking down, as Jack fights an ongoing battle with his own internal demons.","Blu-Ray, drama",libib-sync/batch-0012/191-BLRAST-50-001A.jpg
191-DVDADA-50-001A,Adam's Rib,"A woman's attempted murder of her uncaring husband results in everyday quarrels in the lives of Adam and Amanda, a pair of happily married lawyers who end up on opposite sides of the case in court.","DVD, comedy",libib-sync/batch-0012/191-DVDADA-50-001A.jpg
191-VHSAGE-50-001A,Age Isn't Everything,Young man gives up his dream of becoming an astronaut to go into business — and finds himself turned into a little old man.,"VHS, comedy",libib-sync/batch-0012/191-VHSAGE-50-001A.jpg
191-VHSALL-50-001A,All I Want,This is the story of a journey of human audacity in the whimsical garb of life.,"VHS, drama",libib-sync/batch-0012/191-VHSALL-50-001A.jpg
191-BLRAMB-50-001A,Ambulance (Collector's Edition),"This collector's edition features high-definition picture quality and immersive surround sound for a premium home theater experience. The release includes exclusive bonus content and behind-the-scenes footage that offers a deep look into the high-octane production. Packed in a specialty case, it is a must-have physical copy for fans of intense action cinema and physical media collectors.","Blu-Ray, action",libib-sync/batch-0012/191-BLRAMB-50-001A.jpg
191-VHSMRC-50-001A,AMERICAN PIE SPECIAL EDITION,"At a high-school party, four friends find that losing their collective virginity isn't as easy as they had thought. But they still believe that they need to do so before college. To motivate themselves, they enter a pact to all ""score"" by their senior prom.","VHS, comedy",libib-sync/batch-0012/191-VHSMRC-50-001A.jpg
191-VHSAMR-50-001A,American Splendor,An original mix of fiction and reality illuminates the life of comic book hero everyman Harvey Pekar.,"VHS, comedy",libib-sync/batch-0012/191-VHSAMR-50-001A.jpg
191-VHSAMY-50-001A,Amy's O,"Amy is a single 29 year old Jewish woman. She wrote a successful self-help book about how women can't truly be in love and experience ""mental orgasm."" Her parents and acquaintances always try to give her advice. Eventually, she breaks her celibacy and starts dating a radio shock jock, who is known for hitting on his bimbo guests. Of all men, will she find in him the true love she never believed in","VHS, comedy",libib-sync/batch-0012/191-VHSAMY-50-001A.jpg
191-VHSNFR-50-001A,An African Dream,An Englishwoman travels to South Africa in 1906.,"VHS, drama",libib-sync/batch-0012/191-VHSNFR-50-001A.jpg
191-VHSANA-50-001A,An Angel at My Table,"Based on the autobiographical work of New Zealand writer Janet Frame, this production depicts the author at various stage of her life. Afflicted with mental and emotional issues, Frame grows up in an impoverished family and experiences numerous tragedies while still in her youth, including the deaths of two of her siblings. Portrayed as an adult by Kerry Fox, Frame finds acclaim for her writing while still in a mental institution, and her success helps her move on with her life.","VHS, drama",libib-sync/batch-0012/191-VHSANA-50-001A.jpg
191-VHSAND-50-001A,Andre,"The true story of how a marine seal named Andre befriended a little girl and her family, circa 1962.","VHS, kids-family",libib-sync/batch-0012/191-VHSAND-50-001A.jpg
191-UNKANG-50-001A,Angel Baby,"Angel Baby follows a grieving couple who retreat to a secluded cabin after the loss of their stillborn twins, only for the wife to sense an unsettling presence as dark secrets emerge. Blending psychological horror and thriller elements, it aims for a tense, atmospheric experience.","VHS, thriller",libib-sync/batch-0012/191-UNKANG-50-001A.jpg
191-DVDANN-50-001A,Anna and the King of Siam,"In 1862, a young Englishwoman becomes royal tutor in Siam and befriends the King.","DVD, comedy",libib-sync/batch-0012/191-DVDANN-50-001A.jpg
191-BLRANY-50-001A,Any Given Sunday (Directors Cut),A star quarterback gets knocked out of the game and an unknown third stringer is called in to replace him. The unknown gives a stunning performance and forces the aging coach to reevaluate his game plans and life. A new co-owner/president adds to the pressure of winning. The new owner must prove herself in a male dominated world.,"Blu-Ray, drama",libib-sync/batch-0012/191-BLRANY-50-001A.jpg
191-VHSAPT-50-001A,Apt Pupil,"One day in 1984, Todd Bowden, a brilliant high school boy fascinated by the history of Nazism, stumbles across an old man whose appearance resembles that of Kurt Dussander, a wanted Nazi war criminal. A month later, Todd decides to knock on his door.","VHS, thriller",libib-sync/batch-0012/191-VHSAPT-50-001A.jpg
191-TRIARM-50-001A,Armstrong,"The Cold War has just heated up! CIA Agent Bob Taylor (Charles Napier) arrives in Moscow with his new wife Susan (Kimberley Kates) with a highly secret video tape of Russian missiles leaving an unknown base near Moscow under the cover of darkness. Are these missiles destined to be aimed at the US or are they being smuggled to a terrorist organisation. The Americans need to know where these missiles are going, the only person who can help them discover their destination is Armstrong (Frank Zagarino) an ex buddy of Bob who now trains an elite Russian anti-terrorist squad under the command of Colonel Zukov (Richard Lynch). Zukov is from the old guard, corrupt, ruthless, and will stop at nothing to gain control.","VHS, action",libib-sync/batch-0012/191-TRIARM-50-001A.jpg
191-DVDARS-50-001A,Arsenic and Old Lace,"Mortimer Brewster, a newspaper drama critic, playwright, and author known for his diatribes against marriage, suddenly falls in love and gets married; but when he makes a quick trip home to tell his two maiden aunts, he finds out his aunts' hobby - killing lonely old men and burying them in the cellar!","DVD, comedy",libib-sync/batch-0012/191-DVDARS-50-001A.jpg
191-BLRASS-50-001A,Assassination Nation,"After an anonymous hacker begins leaking the private data of thousands living in a small American town, the townspeople spiral into madness, with four high school seniors at the center of the maelstrom.","Blu-Ray, action",libib-sync/batch-0012/191-BLRASS-50-001A.jpg
191-UNKASS-50-001A,Assassination Tango,"John J. is a seasoned hit man sent on a job to Argentina. When the General he's sent to kill delays his return to the country, John passes the time with Manuela, a beautiful dancer who becomes his teacher and guide into Argentina's sensual world of the tango.","VHS, thriller",libib-sync/batch-0012/191-UNKASS-50-001A.jpg
191-UNKATF-50-001A,At First Sight,"Explore a romantic and suspenseful narrative that delves into the complexities of human connection and unexpected attraction. This compelling read offers a blend of emotional depth and high stakes, making it an ideal choice for fans of contemporary drama and intrigue. Its fast-paced storytelling and relatable characters ensure an immersive experience from the very first chapter.","VHS, drama",libib-sync/batch-0012/191-UNKATF-50-001A.jpg
