call_number,title,description,tags,image_path
35832826,A Saintly Switch,"The story is about a married couple with children on the verge of divorce. Their imminent divorce, like many, is due to their mutual lack of respect and compassion for each other and the effect it has on their children. When the family makes a traumatic move to New Orleans they move into an old, Victorian home. There, in the attic, the children think they have found the ""magic"" to solve their parent's problems. The children accidentally manage to switch the souls of their parents. Now the wife must face the perils of the lockeroom and pressures as family breadwinner and the husband must face pregnancy and bond with his children. Newfound respect and appreciation is gained as the couple finally find out what it's like to walk in the other person's shoes.","VHS, comedy",libib-sync/batch-0015/35832826.jpg
19653370,Another Stakeout,A pair of immature detectives are joined by a pesky assistant district attorney in staking out a lakeside home where an important Mafia trial witness is believed to be heading.,"VHS, comedy",libib-sync/batch-0015/19653370.jpg
95241210,Doom Runners,"In a post-apocalyptic world, a group of children move from one uncertain world to another in their quest for sanctuary.","VHS, sci-fi",libib-sync/batch-0015/95241210.jpg
35439610,Dutch,"To get to know his girlfriend's son, a man volunteers to pick him up from a prep school... only to learn that her son's not the nicest kid.","VHS, comedy",libib-sync/batch-0015/35439610.jpg
19751674,Eat Drink Man Woman,"Retired and widowed Chinese master chef Chu lives in modern day Taipei, with his three attractive daughters, all of whom are unattached. Soon, each daughter encounters a new man in their lives. When these new relationships blossom, stereotypes are broken and the living situation within the family changes.","VHS, comedy",libib-sync/batch-0015/19751674.jpg
35865594,Ed's Next Move,"Ed lives in Wisconsin. He's just been dumped by his girlfriend, so he moves to New York City for a big change...but will he ever find love again? He loves his new job studying the genetics of different strains of rice. Then Ed meets Lee, a quirky singer. She's just what Ed thinks he's looking for, and she's available...or is she?","VHS, romantic-comedy",libib-sync/batch-0015/35865594.jpg
35931130,Educating Rita,"Rita, a witty 26-year-old hairdresser, wants to 'discover' herself, so she joins the Open University where she meets the disillusioned professor of literature, Dr. Frank Bryant. His marriage has failed, his new girlfriend is having an affair with his best friend and he can't get through the day without downing a bottle or two of whisky. What Frank needs is a challenge... and along comes Rita.","VHS, romantic-comedy",libib-sync/batch-0015/35931130.jpg
95077370,Eight Days a Week,"Peter loves his next door neighbour Erica and, on the advice of his grandfather, decides to camp out on her front lawn for the entire summer, or until she agrees to go out with him. His father is none too happy about the idea and refuses to let his son back in the house, even to get a change of clothes.","VHS, comedy",libib-sync/batch-0015/95077370.jpg
95372282,Extreme Days,"As four lifelong friends, Will, Bryan, Matt, and Corey, are on the road trip they've been planning their whole lives, Corey's beloved grandfather unexpectedly dies. When going to claim Corey's inheritance, the gang meets Matt's beautiful cousin Jessie and embark on a hilarious, extreme sports-filled adventure.","VHS, kids-family",libib-sync/batch-0015/95372282.jpg
42902010,Far from Heaven,"In 1950s Connecticut, a housewife's life is upended by a marital crisis and mounting racial tensions in society.","DVD, drama",libib-sync/batch-0015/42902010.jpg
35406842,Father's Day,"Teenager Philip has a day out with his father, whom he has not seen since he was two years old. His mother is not keen to hand her son over to the man who deserted them.","VHS, comedy",libib-sync/batch-0015/35406842.jpg
95437818,For Keeps,"Young high school couple Darcy Elliot and Stan Bobrucz are one year from graduation, with promising futures ahead of them. But their paths take a drastic turn when Darcy becomes pregnant. Unwilling to go through an abortion or an adoption — despite their parents' pleas — Darcy and Stan decide to sacrifice their college experiences and degrees in order to keep and raise the baby. After a quick marriage, the two realize it won't be as easy as they thought.","VHS, romantic-comedy",libib-sync/batch-0015/95437818.jpg
