call_number,title,description,tags,image_path
33141498,102 Dalmatians,"Get ready for a howling good time as an all new assortment of irresistible animal heroes are unleashed in this great family tail! In an unlikely alliance, the outrageous Waddlesworth - a parrot who thinks he's a Rottweiler - teams up with Oddball - an un-marked Dalmatian puppy eager to earn her spots! Together they embark on a laugh-packed quest to outwit the ever-scheming Cruella De Vil.","VHS, kids-family",libib-sync/batch-0008/33141498.jpg
74679802,A Friend of the Deceased,"Tolla is an unemployed translator whose wife is leaving him. Despondent and weak, he submits to the suggestion of an acquaintance to have a contract placed on the man that his wife is seeing. Instead, however, he arranges for the hit to be placed on himself. Before the contract is executed, he develops a relationship with a prostitute, and then changes his mind. In order to survive he takes the obvious course of action, which turns out to have possibly been unnecessary, and then he must deal with the guilt.","VHS, foreign",libib-sync/batch-0008/74679802.jpg
74548730,A Funny Thing Happened on the Way to the Forum,A wily slave must unite a virgin courtesan and his young smitten master to earn his freedom.,"VHS, comedy",libib-sync/batch-0008/74548730.jpg
20525818,A Grand Collection of Swaordsman II,"Swordsman II (also known as The Legend of the Swordsman) is a 1992 Hong Kong wuxia film loosely adapted from Jin Yong's novel The Smiling, Proud Wanderer, the second part of the Swordsman trilogy.","DVD, action",libib-sync/batch-0008/20525818.jpg
74188282,A Weekend in the Country,"Six people. One weekend. The possibilities are endless when city meets country in this roundelay of old flames, new flings, and last chances.","VHS, drama",libib-sync/batch-0008/74188282.jpg
32617210,Aladdin,"In the boorish city of Agrabah, kind-hearted street urchin Aladdin and Princess Jasmine fall in love, although she can only marry a prince. He and power-hungry Grand Vizier Jafar vie for a magic lamp that can fulfill their wishes.","VHS, kids-family",libib-sync/batch-0008/32617210.jpg
38100730,Alice's Restaurant,"After getting kicked out of college, Arlo decides to visit his friend Alice for Thanksgiving dinner. After dinner is over, Arlo volunteers to take the trash to the dump but finds it closed for the holiday, so he dumps the trash in the bottom of a ravine. This act of littering gets him arrested and sends him on a bizarre journey.","VHS, comedy",libib-sync/batch-0008/38100730.jpg
95892218,Amor Bandido,"Police investigator Galvão is pursuing two trails, one professional and one personal. While he looks for a serial killer, he also searches for his estranged daughter, Sandra, whom he kicked out of the house. Lives intersect when the serial killer, Toninho, befriends Sandra, now an exotic dancer and prostitute living and working in the seamy underside of late 1970s Rio.","DVD, thriller",libib-sync/batch-0008/95892218.jpg
10899962,An American Tail,"A young mouse named Fievel and his family decide to migrate to America, a ""land without cats,"" at the turn of the 20th century. But somehow, Fievel ends up in the New World alone and must fend off not only the felines he never thought he'd have to deal with again but also the loneliness of being away from home.","VHS, kids-family",libib-sync/batch-0008/10899962.jpg
33010426,An Extremely Goofy Movie,"It's all extreme sports and a life of freedom as Max sets off for college -- but Goofy misses Max so much he loses his job and goes to finish college alongside Max and his friends. But as Goofy tries to get closer to Max, both must go to the extreme to learn how to live their own lives together.","VHS, kids-family",libib-sync/batch-0008/33010426.jpg
02224378,An Officer and a Gentleman,"Zack Mayo is an aloof, taciturn man who aspires to be a navy pilot. Once he arrives at training camp for his 13-week officer's course, Mayo runs afoul of abrasive, no-nonsense drill Sergeant Emil Foley. Mayo is an excellent cadet, but a little cold around the heart, so Foley rides him mercilessly, sensing that the young man would be prime officer material if he weren't so self-involved. Zack's affair with a working girl is likewise compromised by his unwillingness to give of himself.","VHS, drama",libib-sync/batch-0008/02224378.jpg
79971322,And She Was,"A young girl deals with the discovery of her sexuality, her turbulent relationship with her mother, and high school during the 80s. Found under 'caroline & kaitlyn films' on youtube! This was made by 2 high school students for a senior project so please be kind!","VHS, drama",libib-sync/batch-0008/79971322.jpg
00581370,Article 99,"Dr. Richard Sturgess leads a team of compassionate doctors at a veteran's hospital. Along with Drs. Morgan, Handleman and Van Dorn, he fights to deliver adequate care to needy veterans in the face of funding cuts and a corrupt administration. To succeed, the staff may have to bend the rules and circumvent the villainous ""Article 99,"" a bureaucratic loophole that prevents veterans from receiving the benefits they deserve.","VHS, drama",libib-sync/batch-0008/00581370.jpg
10310138,As Good As It Gets,"A misanthropic author, a single mother and waitress, and a gay artist form an unlikely friendship after the artist is assaulted in a robbery.","VHS, comedy",libib-sync/batch-0008/10310138.jpg
