Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Waitlist Emails (product.metafields.custom.waitlist_emails),Art style (product.metafields.shopify.art-style),Carry options (product.metafields.shopify.carry-options),Color (product.metafields.shopify.color-pattern),Genre (product.metafields.shopify.genre),Media format (product.metafields.shopify.media-format),Neckline (product.metafields.shopify.neckline),Orientation (product.metafields.shopify.orientation),Sleeve length type (product.metafields.shopify.sleeve-length-type),Theme (product.metafields.shopify.theme),Tote handle type (product.metafields.shopify.tote-handle-type),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
7-soles-dvd-rental-horror,7 Soles,"<p>A man called ""The Black"" is hired to smuggle a group of undocumented migrants into the United States. He wants to quit the smuggling business and claims this is his last trip. His superiors, now suspicious, send Gavilan, a younger smuggler, to keep an eye on him. During the troubled crossing, the smugglers fight and eventually lose part of their human cargo.  ""The Black"" escapes from his former associates but also needs to ecape from the Border Patrol.</p>",DVD,Media > Videos,,"Rental, DVD, Horror, Formatted",,Genre,Horror,,,,,,,,,,shopify,1,deny,manual,0,,,,,,,,70888442,https://image.tmdb.org/t/p/w1280/kNnueRDVHV4OMtMfTSZXMiuPext.jpg,,7 Soles poster,,,,,,,,horror,,,,,,,,,,,,,,,active
8-1-2-women-vhs-floor-sale-comedy,8 1/2 Women,"<p>After his wife dies, middle-aged businessman Philip Emmenthal, at the prompting of his playboy son Storey, populates his Geneva villa with eight-and-a-half concubines. Three are from Kyoto, where Storey manages Pachinco palaces. Each has a distinctive personality: a nun, a child bearer, a gambler, a student of Kabuki, a horsewoman with a pet pig, a maid. As a year passes, the women begin asserting their own power.</p>",VHS,Media > Videos,,"Floor Sale, VHS, Comedy, Formatted",,Genre,Comedy,,,,,,,,,,shopify,1,deny,manual,15.00,,,,,,,,78809594,https://image.tmdb.org/t/p/w1280/t7G0SA8cqrsu7XzzTL0ge54aw7L.jpg,,8 1/2 Women poster,,,,,,,,comedy,,,,,,,,,,,,,,,active
84-charing-cross-road-vhs-rental-drama,84 Charing Cross Road,"<p>When a humorous script-reader in her New York apartment sees an ad in the Saturday Review of Literature for a bookstore in London that does mail order, she begins a very special correspondence and friendship with Frank Doel, the bookseller who works at Marks & Co., 84 Charing Cross Road.</p>",VHS,Media > Videos,,"Rental, VHS, Drama, Formatted",,Genre,Drama,,,,,,,,,,shopify,1,deny,manual,0,,,,,,,,17418234,https://image.tmdb.org/t/p/w1280/sbImaHsRP9TpCNIi4xMizaphZhk.jpg,,84 Charing Cross Road poster,,,,,,,,drama,,,,,,,,,,,,,,,active
a-cry-in-the-dark-vhs,A Cry in the Dark,"<p>Based on the true story of Lindy Chamberlain who, during a family camping trip to Ayers Rock in central Australia, claimed she witnessed a dingo take her baby daughter, Azaria, from their tent. Azaria's body was never found and, after investigations and two public inquests, she is charged with murder.</p>",VHS,Media > Videos,,"Floor Sale, VHS, Thriller, Formatted",,Genre,Thriller,,,,,,,,,,shopify,1,deny,manual,5.00,,,,,,,,18893306,https://image.tmdb.org/t/p/w1280/auyoK8OZh1sZldjJfy9RGzS6crV.jpg,,A Cry in the Dark poster,,,,,,,,thriller,,,,,,,,,,,,,,,active
a-thin-line-between-vhs-rental-drama,A Thin Line Between,"<p>Nightclub manager Darnell Wright is a perpetual playboy who is almost as devoted to his job as he is to the pursuit of beautiful women. After he sets his sights on the ultra-classy Brandi Web, he launches an all-out assault to win her heart. Ultimately, charm, lust and passion prevail, but Darnell learns the hard way that when you play, you pay. Brandi is much harder to get rid of than she was to get--especially when she realizes that she has a rival vying for Darnell's affection. When he finally decides to call it quits, Brandi becomes an obsessed femme fatale stalking the new love of her life.</p>",VHS,Media > Videos,,"Floor Sale, VHS, Drama, Formatted",,Genre,Drama,,,,,,,,,,shopify,1,deny,manual,6.00,,,,,,,,43421946,https://image.tmdb.org/t/p/w1280/wo9AGi5LlFXZUj8MDPq3eKCUMpd.jpg,,A Thin Line Between poster,,,,,,,,drama,,,,,,,,,,,,,,,active
adams-rib,Adam's Rib,"<p>A woman's attempted murder of her uncaring husband results in everyday quarrels in the lives of Adam and Amanda, a pair of happily married lawyers who end up on opposite sides of the case in court.</p>",DVD,Media > Videos,,"Comedy, DVD, Formatted, Rental",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-DVDADA-50-001A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1781403092566.jpg?v=1787925672,1,191-DVDADA-50-001A,false,,,,,,,comedy,,,,,,,,,,,,lb,,,active
adventures-in-babysitting-dvd-rental-comedy,Adventures in Babysitting,"<p>When plans with her boyfriend fall through, high school senior Chris Parker ends up babysitting the Anderson kids, Brad and Sara. What should be a quiet night in, however, turns into a series of ridiculous exploits, starting when they leave the house to pick up Chris' friend Brenda. Soon, Brad's buddy Daryl is involved, and the group must contend with car thieves, blues musicians and much more.</p>",DVD,Media > Videos,,"Rental, DVD, Comedy, Formatted",,Genre,Comedy,,,,,,,,,,shopify,1,deny,manual,0,,,,,,,,00600826,https://image.tmdb.org/t/p/w1280/8QiAj0Xw2UMeZMIIfZKeNoIsszs.jpg,,Adventures in Babysitting poster,,,,,,,,comedy,,,,,,,,,,,,,,,active
adventures-in-babysitting-vhs-floor-sale-comedy,Adventures in Babysitting,"<p>When plans with her boyfriend fall through, high school senior Chris Parker ends up babysitting the Anderson kids, Brad and Sara. What should be a quiet night in, however, turns into a series of ridiculous exploits, starting when they leave the house to pick up Chris' friend Brenda. Soon, Brad's buddy Daryl is involved, and the group must contend with car thieves, blues musicians and much more.</p>",VHS,Media > Videos,,"Floor Sale, VHS, Comedy, Formatted",,Genre,Comedy,,,,,,,,,,shopify,1,deny,manual,12.00,,,,,,,,06531322,https://image.tmdb.org/t/p/w1280/8QiAj0Xw2UMeZMIIfZKeNoIsszs.jpg,,Adventures in Babysitting poster,,,,,,,,comedy,,,,,,,,,,,,,,,active
adventures-of-the-wilderness-family,Adventures of the Wilderness Family,<p>The story of a modern family bored with the hassles of the city life in Los Angeles. They head for the wilderness never to return.</p>,VHS,Media > Videos,,"Formatted, Kids & Family, Rental, VHS",true,Genre,Kids & Family,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-VHSADV-001A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1782254752788.jpg?v=1787925896,1,191-VHSADV-001A,false,,,,,,,kids-family,,,,,,,,,,,,lb,,,active
against-the-wall-vhs-rental-drama,Against the Wall,"<p>In 1971, a warden at Attica Penitentiary is caught up in a hostage crisis when inmates take over the prison to demand better living conditions.</p>",VHS,Media > Videos,,"Rental, VHS, Drama, Formatted",,Genre,Drama,,,,,,,,,,shopify,1,deny,manual,0,,,,,,,,81116922,https://image.tmdb.org/t/p/w1280/vTPZiHQDl7d67V9u7BSjiH3jwRL.jpg,,Against the Wall poster,,,,,,,,drama,,,,,,,,,,,,,,,active
